City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Inirida,CO,76.82,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
106,Manicore,BR,82.54,broken clouds,-5.8092,-61.3003,Hotel Durval
108,San Juan,AR,79.29,clear sky,-31.5375,-68.5364,Hotel Provincial
113,Dingle,PH,77.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
117,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
120,Sao Raimundo Nonato,BR,81.59,overcast clouds,-9.0153,-42.6994,Real Hotel
139,Bang Saphan,TH,76.91,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
141,Labuhan,ID,79.18,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
144,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
147,Pamanukan,ID,78.75,broken clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
150,Victoria Point,AU,79.48,broken clouds,-27.5833,153.3,Bay Retreat Motel
151,Acapulco,MX,79.54,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
153,Ugoofaaru,MV,81.95,broken clouds,5.6667,73.0,Ungoofaaru Inn
158,Butaritari,KI,81.55,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
160,Noumea,NC,78.78,few clouds,-22.2763,166.4572,Hôtel Le Lagon
171,Sao Jose Da Coroa Grande,BR,77.72,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
177,Ibotirama,BR,78.84,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
182,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
184,Gondanglegi,ID,77.68,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
186,Santa Isabel Do Rio Negro,BR,78.96,overcast clouds,-0.4139,-65.0192,Hotel GSA
